Close,Open,High,Low,Date,Volume,Daily return,Mean of daily returns,Daily return daviations,Square of deviations,Varianca of daily returns,Daily votality,Price Movement,Target
113.64,109.11,114.59,107.52,04/01/2023,180388976,5.124884366,0.24,-4.88,23.8397599,11.55110212,3.398691236,4.15177344,1
110.34,110.51,111.75,107.16,05/01/2023,157986324,-2.903907075,0.23,3.13,9.820513593,11.51983327,3.394087988,-0.153832232,0
113.06,103,114.39,101.81,06/01/2023,220911051,2.465107848,0.24,-2.23,4.960645874,11.52416827,3.394726538,9.766990291,1
119.77,118.96,123.52,117.11,09/01/2023,190283951,5.934901822,0.23,-5.7,32.52125503,11.54095477,3.397198077,0.680901143,1
118.85,121.07,122.76,114.92,10/01/2023,167642485,-0.768138933,0.22,0.99,0.971559802,11.48715913,3.38927118,-1.833649955,0
123.22,122.09,125.95,120.51,11/01/2023,183810771,3.67690366,0.22,-3.46,11.94968323,11.51419152,3.393256772,0.925546728,1
123.56,122.56,124.13,117,12/01/2023,169400913,0.275929232,0.21,-0.06,0.004194676,11.51306912,3.393091381,0.815926893,1
122.4,116.55,122.63,115.6,13/01/2023,180714119,-0.938815151,0.21,1.15,1.322064669,11.54280781,3.397470796,5.019305019,1
131.49,125.7,131.7,125.02,17/01/2023,186476985,7.426470588,0.21,-7.21,52.02010208,11.56928642,3.401365376,4.606205251,1
128.78,136.56,136.68,127.01,18/01/2023,195680318,-2.060993231,0.2,2.26,5.090591045,11.46421937,3.385885315,-5.697129467,0
127.17,127.26,129.99,124.31,19/01/2023,170291880,-1.25019413,0.2,1.45,2.106301662,11.48081736,3.388335485,-0.070721358,0
133.42,128.68,133.51,127.35,20/01/2023,138858136,4.914681135,0.2,-4.71,22.18198636,11.5052939,3.391945445,3.683556108,1
143.75,135.87,145.38,134.27,23/01/2023,203119211,7.742467396,0.19,-7.55,57.00085613,11.47734444,3.387822965,5.799661441,1
143.89,143,146.5,141.1,24/01/2023,158699056,0.097391304,0.17,0.08,0.005680482,11.35786016,3.370142454,0.622377622,1
144.43,141.91,146.41,138.07,25/01/2023,192734347,0.375286677,0.17,-0.2,0.040936645,11.38773432,3.374571724,1.775773377,1
160.27,159.97,161.42,154.76,26/01/2023,234815090,10.96725057,0.17,-10.79,116.5282641,11.4176731,3.37900475,0.187535163,1
177.9,162.43,180.68,161.17,27/01/2023,306590613,11.00018718,0.14,-10.86,117.8596873,11.13960275,3.337604343,9.52410269,1
166.66,178.05,179.77,166.5,30/01/2023,230878807,-6.318156268,0.12,6.43,41.38640564,10.8565256,3.294924218,-6.397079472,0
173.22,164.57,174.3,162.78,31/01/2023,196813541,3.936157446,0.13,-3.8,14.4702439,10.77532911,3.282579643,5.256122015,1
181.41,173.89,183.81,169.93,01/02/2023,213806323,4.728091444,0.12,-4.61,21.21574558,10.76547601,3.281078483,4.324573006,1
188.27,187.33,196.75,182.61,02/02/2023,217448287,3.781489444,0.11,-3.67,13.48188738,10.73753411,3.276817681,0.501788288,1
189.98,183.95,199,183.69,03/02/2023,232662023,0.908270038,0.1,-0.81,0.65349997,10.7301766,3.275694826,3.278064691,1
194.76,193.01,198.17,189.92,06/02/2023,186188131,2.516054322,0.1,-2.42,5.84842076,10.75726444,3.279826891,0.906688773,1
196.81,196.43,197.5,189.55,07/02/2023,186010325,1.052577531,0.09,-0.96,0.924275559,10.77049582,3.281843357,0.193453139,1
201.29,196.1,203,194.31,08/02/2023,180673644,2.276307098,0.09,-2.19,4.786120703,10.79710723,3.285895194,2.646608873,1
207.32,207.78,214,204.77,09/02/2023,215431442,2.995677878,0.08,-2.91,8.4856855,10.81339716,3.288373027,-0.221388007,0
196.89,202.23,206.2,192.89,10/02/2023,204754129,-5.030870152,0.07,5.11,26.06727612,10.81972247,3.289334654,-2.640557781,0
194.64,194.42,196.3,187.61,13/02/2023,172475452,-1.142770075,0.09,1.23,1.516404798,10.778176,3.28301325,0.113157083,1
209.25,191.94,209.82,189.44,14/02/2023,216455708,7.506165228,0.09,-7.41,54.96957375,10.80348138,3.286864978,9.018443264,1
214.24,211.76,214.66,206.11,15/02/2023,182108581,2.384707288,0.07,-2.31,5.349976665,10.68247839,3.268406093,1.171137136,1
202.04,210.78,217.65,201.84,16/02/2023,229586538,-5.69454817,0.07,5.76,33.17644111,10.69712812,3.270646438,-4.146503463,0
208.31,199.99,208.44,197.5,17/02/2023,213738549,3.103345872,0.08,-3.02,9.13325251,10.63520164,3.261165687,4.16020801,1
197.37,204.99,209.71,197.22,21/02/2023,180018588,-5.2517882,0.07,5.32,28.35198819,10.63935067,3.261801752,-3.7172545,0
200.86,197.93,201.99,191.78,22/02/2023,191828457,1.768252521,0.09,-1.68,2.824525497,10.59028519,3.254271838,1.480321326,1
202.07,203.91,205.14,196.33,23/02/2023,146359950,0.602409639,0.08,-0.52,0.269836625,10.61185675,3.257584496,-0.902358884,0
196.88,196.33,197.67,192.8,24/02/2023,142228105,-2.568416885,0.08,2.65,7.022084246,10.6406646,3.262003158,0.28014058,1
207.63,202.03,209.42,201.26,27/02/2023,161028315,5.460178789,0.09,-5.37,28.85056402,10.65077237,3.263552109,2.771865565,1
205.71,210.59,211.23,203.75,28/02/2023,153144912,-0.924721861,0.07,1,0.99716794,10.59979256,3.255732262,-2.317299017,0
202.77,206.21,207.2,198.52,01/03/2023,156852790,-1.429196442,0.08,1.51,2.267622034,10.62676623,3.259872118,-1.668202318,0
190.9,186.74,193.75,186.01,02/03/2023,181979154,-5.853923164,0.08,5.93,35.2222207,10.65031311,3.263481747,2.227696262,1
197.79,194.8,200.48,192.88,03/03/2023,154193277,3.609219487,0.1,-3.51,12.33095845,10.58090094,3.252829682,1.534907598,1
193.81,198.54,198.6,192.3,06/03/2023,128100106,-2.012235199,0.09,2.1,4.409834163,10.57594327,3.252067538,-2.382391458,0
